time,attack,kalman_residual,cusum_score,jitter_z,kalman_detected,cusum_detected,jitter_detected,consensus,consensus_confidence,disagreement_score,delta_v,latency
33,baseline,0.018407,0.001047,1.165757,0,0,0,0,0.0,0.0,0.018161,0.346498
34,baseline,0.018825,0.0,0.887278,0,0,0,0,0.0,0.0,0.021627,0.263074
35,baseline,0.020341,0.000341,1.4575,0,0,0,0,0.0,0.0,0.016785,0.305539
36,baseline,0.02039,0.000731,1.273638,0,0,0,0,0.0,0.0,0.017526,0.260386
37,baseline,0.020783,0.001514,1.103945,0,0,0,0,0.0,0.0,0.020501,0.310393
38,baseline,0.01898,0.000494,1.081289,0,0,0,0,0.0,0.0,0.020586,0.278569
39,baseline,0.022799,0.003293,1.165842,0,0,0,0,0.0,0.0,0.017617,0.319697
40,baseline,0.018538,0.001831,1.27548,0,0,0,0,0.0,0.0,0.022317,0.27538
41,baseline,0.021445,0.003276,1.144473,0,0,0,0,0.0,0.0,0.021644,0.356904
42,baseline,0.019632,0.002908,0.736192,0,0,0,0,0.0,0.0,0.018221,0.275526
43,baseline,0.019884,0.002792,1.119403,0,0,0,0,0.0,0.0,0.020553,0.324815
44,baseline,0.02002,0.002811,1.508737,0,0,0,0,0.0,0.0,0.019471,0.381605
45,baseline,0.020939,0.00375,0.699995,0,0,0,0,0.0,0.0,0.017858,0.314474
46,baseline,0.019665,0.003415,1.2499,0,0,0,0,0.0,0.0,0.020946,0.297815
47,baseline,0.01873,0.002144,0.469803,0,0,0,0,0.0,0.0,0.019107,0.325692
48,baseline,0.020321,0.002466,0.563991,0,0,0,0,0.0,0.0,0.020346,0.31156
49,baseline,0.018674,0.00114,1.053804,0,0,0,0,0.0,0.0,0.020116,0.265711
50,baseline,0.020537,0.001677,1.196275,0,0,0,0,0.0,0.0,0.022166,0.331614
51,baseline,0.017933,0.0,0.671761,0,0,0,0,0.0,0.0,0.02103,0.315414
52,baseline,0.020773,0.000773,2.348456,0,0,0,0,0.0,0.0,0.021142,0.334067
53,baseline,0.021431,0.002204,1.227987,0,0,0,0,0.0,0.0,0.019369,0.322769
54,baseline,0.018841,0.001044,0.917113,0,0,0,0,0.0,0.0,0.019029,0.302456
55,baseline,0.023472,0.004516,0.346457,0,0,0,0,0.0,0.0,0.021373,0.251619
56,baseline,0.019292,0.003808,1.381133,0,0,0,0,0.0,0.0,0.020129,0.267668
57,baseline,0.018927,0.002735,1.237859,0,0,0,0,0.0,0.0,0.018539,0.306494
58,baseline,0.020068,0.002804,0.77194,0,0,0,0,0.0,0.0,0.024288,0.319018
59,baseline,0.016962,0.0,1.065259,0,0,0,0,0.0,0.0,0.018676,0.325573
60,baseline,0.018811,0.0,0.959842,0,0,0,0,0.0,0.0,0.02101,0.325973
61,baseline,0.0182,0.0,0.882925,0,0,0,0,0.0,0.0,0.01905,0.2804
62,baseline,0.022648,0.002648,1.141744,0,0,0,0,0.0,0.0,0.017478,0.327536
63,baseline,0.023183,0.005831,1.361363,0,0,0,0,0.0,0.0,0.016961,0.285473
64,baseline,0.0219,0.007732,0.752316,0,0,0,0,0.0,0.0,0.020888,0.323239
65,baseline,0.01861,0.006341,0.979166,0,0,0,0,0.0,0.0,0.013517,0.269268
66,baseline,0.019621,0.005963,0.563276,0,0,0,0,0.0,0.0,0.023265,0.257096
67,baseline,0.01934,0.005302,1.045759,0,0,0,0,0.0,0.0,0.022883,0.256924
68,baseline,0.021745,0.007047,1.003582,0,0,0,0,0.0,0.0,0.018037,0.313863
69,baseline,0.020299,0.007346,0.789924,0,0,0,0,0.0,0.0,0.02014,0.288441
70,baseline,0.02017,0.007516,1.231746,0,0,0,0,0.0,0.0,0.023172,0.262866
71,baseline,0.0232,0.010716,0.316769,0,0,0,0,0.0,0.0,0.019696,0.31765
72,baseline,0.020421,0.011137,0.782055,0,0,0,0,0.0,0.0,0.019584,0.28521
73,baseline,0.019116,0.010253,1.297361,0,0,0,0,0.0,0.0,0.020714,0.279213
74,baseline,0.021349,0.011602,1.107555,0,0,0,0,0.0,0.0,0.021626,0.318889
75,baseline,0.018757,0.010359,0.803937,0,0,0,0,0.0,0.0,0.021495,0.318311
76,baseline,0.019969,0.010328,1.041065,0,0,0,0,0.0,0.0,0.022555,0.282253
77,baseline,0.020821,0.011148,0.929233,0,0,0,0,0.0,0.0,0.019565,0.332963
78,baseline,0.021238,0.012386,1.284728,0,0,0,0,0.0,0.0,0.022611,0.30063
79,baseline,0.021023,0.013409,0.891407,0,0,0,0,0.0,0.0,0.020648,0.296096
80,baseline,0.020145,0.013555,1.208305,0,0,0,0,0.0,0.0,0.018364,0.362772
81,baseline,0.018491,0.012046,0.575034,0,0,0,0,0.0,0.0,0.022316,0.32375
82,baseline,0.020936,0.012982,1.219921,0,0,0,0,0.0,0.0,0.019976,0.273082
83,baseline,0.020114,0.013096,0.762993,0,0,0,0,0.0,0.0,0.02195,0.295588
84,baseline,0.018762,0.011857,0.887515,0,0,0,0,0.0,0.0,0.020826,0.283088
85,baseline,0.018767,0.010624,1.085291,0,0,0,0,0.0,0.0,0.02049,0.284792
86,baseline,0.019293,0.009918,1.081217,0,0,0,0,0.0,0.0,0.017104,0.257776
87,baseline,0.018922,0.00884,0.925293,0,0,0,0,0.0,0.0,0.020622,0.344261
88,baseline,0.021286,0.010126,0.944022,0,0,0,0,0.0,0.0,0.019962,0.269924
89,baseline,0.019972,0.010099,0.898969,0,0,0,0,0.0,0.0,0.020645,0.275183
90,baseline,0.020779,0.010878,1.536459,0,0,0,0,0.0,0.0,0.019782,0.312051
91,baseline,0.021035,0.011913,0.859573,0,0,0,0,0.0,0.0,0.020448,0.300378
92,baseline,0.020147,0.012059,0.729447,0,0,0,0,0.0,0.0,0.020049,0.31494
93,baseline,0.022177,0.014236,1.335745,0,0,0,0,0.0,0.0,0.024306,0.27698
94,baseline,0.021308,0.015545,1.06417,0,0,0,0,0.0,0.0,0.02438,0.275751
95,baseline,0.01874,0.014285,0.790213,0,0,0,0,0.0,0.0,0.015752,0.284227
96,baseline,0.018861,0.013146,1.052638,0,0,0,0,0.0,0.0,0.020684,0.356285
97,baseline,0.021426,0.014572,0.798084,0,0,0,0,0.0,0.0,0.018203,0.314758
98,baseline,0.01802,0.012592,1.641011,0,0,0,0,0.0,0.0,0.022359,0.285925
99,baseline,0.01743,0.010022,1.473855,0,0,0,0,0.0,0.0,0.019771,0.337134
0,impedance_perturb,0.017608,0.0,0.790219,0,0,0,0,0.0,0.0,0.02001,0.301409
1,impedance_perturb,0.019325,0.0,1.217997,0,0,0,0,0.0,0.0,0.017865,0.295729
2,impedance_perturb,0.02018,0.00018,1.180054,0,0,0,0,0.0,0.0,0.021423,0.266261
3,impedance_perturb,0.017699,0.0,1.447187,0,0,0,0,0.0,0.0,0.020665,0.277545
4,impedance_perturb,0.022327,0.002327,1.040486,0,0,0,0,0.0,0.0,0.022359,0.302026
5,impedance_perturb,0.023091,0.005418,1.614369,0,0,0,0,0.0,0.0,0.019502,0.329147
6,impedance_perturb,0.020968,0.006386,1.479021,0,0,0,0,0.0,0.0,0.01807,0.320582
7,impedance_perturb,0.021588,0.007974,0.384441,0,0,0,0,0.0,0.0,0.017633,0.238823
8,impedance_perturb,0.019596,0.007569,1.25114,0,0,0,0,0.0,0.0,0.023005,0.302223
9,impedance_perturb,0.022443,0.010012,0.516964,0,0,0,0,0.0,0.0,0.016593,0.298334
10,impedance_perturb,0.020576,0.010588,0.988557,0,0,0,0,0.0,0.0,0.015865,0.297326
11,impedance_perturb,0.018043,0.008632,1.234385,0,0,0,0,0.0,0.0,0.020733,0.271804
12,impedance_perturb,0.019229,0.007861,0.629275,0,0,0,0,0.0,0.0,0.019875,0.328654
13,impedance_perturb,0.018521,0.006382,1.176416,0,0,0,0,0.0,0.0,0.018939,0.276214
14,impedance_perturb,0.019839,0.006222,0.637665,0,0,0,0,0.0,0.0,0.018893,0.264064
15,impedance_perturb,0.022947,0.009169,1.012342,0,0,0,0,0.0,0.0,0.018601,0.306419
16,impedance_perturb,0.019832,0.009,0.922661,0,0,0,0,0.0,0.0,0.021228,0.322725
17,impedance_perturb,0.019204,0.008205,0.798464,0,0,0,0,0.0,0.0,0.01945,0.230942
18,impedance_perturb,0.017727,0.005932,1.478406,0,0,0,0,0.0,0.0,0.02329,0.292529
19,impedance_perturb,0.020865,0.006797,1.108938,0,0,0,0,0.0,0.0,0.026158,0.333587
20,impedance_perturb,0.019808,0.006605,0.665561,0,0,0,0,0.0,0.0,0.016787,0.306104
21,impedance_perturb,0.018865,0.00547,0.502211,0,0,0,0,0.0,0.0,0.018707,0.267554
22,impedance_perturb,0.022531,0.008001,1.308574,0,0,0,0,0.0,0.0,0.019984,0.344398
23,impedance_perturb,0.020116,0.008117,0.698551,0,0,0,0,0.0,0.0,0.023046,0.316167
24,impedance_perturb,0.018444,0.006561,0.933381,0,0,0,0,0.0,0.0,0.018249,0.258516
25,impedance_perturb,0.021389,0.00795,1.668296,0,0,0,0,0.0,0.0,0.017203,0.316889
26,impedance_perturb,0.019024,0.006975,0.829506,0,0,0,0,0.0,0.0,0.018815,0.27408
27,impedance_perturb,0.020073,0.007047,0.709167,0,0,0,0,0.0,0.0,0.020541,0.298493
28,impedance_perturb,0.019642,0.006689,0.682353,0,0,0,0,0.0,0.0,0.018846,0.322662
29,impedance_perturb,0.020751,0.00744,0.657856,0,0,0,0,0.0,0.0,0.020199,0.322542
30,impedance_perturb,0.017496,0.004936,1.190176,0,0,0,0,0.0,0.0,0.018675,0.317118
31,impedance_perturb,0.018855,0.003791,0.368291,0,0,0,0,0.0,0.0,0.016745,0.301443
32,impedance_perturb,0.02039,0.004181,0.683489,0,0,0,0,0.0,0.0,0.021277,0.250154
33,impedance_perturb,0.019901,0.004082,0.576144,0,0,0,0,0.0,0.0,0.018696,0.301422
34,impedance_perturb,0.018709,0.002791,0.865406,0,0,0,0,0.0,0.0,0.022013,0.282693
35,impedance_perturb,0.021254,0.004045,0.604603,0,0,0,0,0.0,0.0,0.02106,0.343247
36,impedance_perturb,0.016293,0.000337,0.721087,0,0,0,0,0.0,0.0,0.021154,0.293909
37,impedance_perturb,0.020557,0.000894,0.788605,0,0,0,0,0.0,0.0,0.020173,0.29533
38,impedance_perturb,0.021752,0.002646,1.089047,0,0,0,0,0.0,0.0,0.020675,0.287644
39,impedance_perturb,0.019269,0.001914,0.848605,0,0,0,0,0.0,0.0,0.020789,0.28737
40,impedance_perturb,0.020435,0.002349,1.72639,0,0,0,0,0.0,0.0,0.021742,0.290219
41,impedance_perturb,0.021802,0.004151,0.857174,0,0,0,0,0.0,0.0,0.015924,0.269757
42,impedance_perturb,0.017194,0.001344,0.87697,0,0,0,0,0.0,0.0,0.020037,0.350293
43,impedance_perturb,0.02049,0.001835,0.923315,0,0,0,0,0.0,0.0,0.021659,0.233666
44,impedance_perturb,0.020353,0.002188,1.269803,0,0,0,0,0.0,0.0,0.017043,0.334313
45,impedance_perturb,0.020508,0.002696,0.854649,0,0,0,0,0.0,0.0,0.021266,0.368121
46,impedance_perturb,0.024455,0.007151,2.141423,0,0,0,0,0.0,0.0,0.02219,0.295414
47,impedance_perturb,0.025609,0.01276,1.809462,0,0,0,0,0.0,0.0,0.023361,0.307488
48,impedance_perturb,0.025264,0.018024,2.280418,0,0,0,0,0.0,0.0,0.025402,0.307427
49,impedance_perturb,0.024322,0.022346,1.875615,0,0,0,0,0.0,0.0,0.022548,0.334955
50,impedance_perturb,0.026045,0.028391,1.949969,0,0,0,0,0.0,0.0,0.025285,0.365215
51,impedance_perturb,0.025711,0.034102,2.984151,0,0,0,0,0.0,0.0,0.022107,0.288115
52,impedance_perturb,0.022605,0.036706,2.905434,0,0,0,0,0.0,0.0,0.025072,0.324696
53,impedance_perturb,0.025874,0.042581,2.042442,0,0,0,0,0.0,0.0,0.028764,0.331149
54,impedance_perturb,0.0258,0.048381,2.744927,0,0,0,0,0.0,0.0,0.024944,0.334898
55,impedance_perturb,0.024632,0.053014,2.710468,0,0,0,0,0.0,0.0,0.027855,0.369454
56,impedance_perturb,0.02839,0.061404,2.421075,1,0,0,0,0.333333,0.666667,0.022221,0.326226
57,impedance_perturb,0.026265,0.067669,3.037512,0,0,1,0,0.333333,0.666667,0.020924,0.376796
58,impedance_perturb,0.026127,0.073796,2.559683,0,0,0,0,0.0,0.0,0.022394,0.282172
59,impedance_perturb,0.02778,0.081576,2.789298,0,1,0,0,0.333333,0.666667,0.021947,0.293875
60,impedance_perturb,0.026224,0.087799,3.402339,0,1,1,1,0.666667,0.333333,0.024117,0.288542
61,impedance_perturb,0.02654,0.09434,2.777274,0,1,0,0,0.333333,0.666667,0.019352,0.332917
62,impedance_perturb,0.026745,0.101084,3.170945,0,1,1,1,0.666667,0.333333,0.028552,0.369251
63,impedance_perturb,0.026869,0.107954,2.594534,0,1,0,0,0.333333,0.666667,0.03011,0.33814
64,impedance_perturb,0.027475,0.115429,3.02792,0,1,1,1,0.666667,0.333333,0.025469,0.332942
65,impedance_perturb,0.026776,0.122205,2.899508,0,1,0,0,0.333333,0.666667,0.025116,0.321879
66,impedance_perturb,0.026749,0.128954,3.182705,0,1,1,1,0.666667,0.333333,0.024781,0.384211
67,impedance_perturb,0.024024,0.132978,3.582027,0,1,1,1,0.666667,0.333333,0.027892,0.277798
68,impedance_perturb,0.027668,0.140645,3.124541,0,1,1,1,0.666667,0.333333,0.022694,0.317575
69,impedance_perturb,0.026698,0.147343,3.922386,0,1,1,1,0.666667,0.333333,0.02749,0.379965
70,impedance_perturb,0.029628,0.156971,2.968468,1,1,0,1,0.666667,0.333333,0.024678,0.357409
71,impedance_perturb,0.026894,0.163865,3.667731,0,1,1,1,0.666667,0.333333,0.025356,0.332392
72,impedance_perturb,0.029976,0.173841,3.628219,1,1,1,1,1.0,0.0,0.025224,0.379325
73,impedance_perturb,0.027469,0.18131,3.74285,0,1,1,1,0.666667,0.333333,0.027241,0.336168
74,impedance_perturb,0.029762,0.191072,3.143928,1,1,1,1,1.0,0.0,0.028012,0.340817
75,impedance_perturb,0.02867,0.199742,4.003517,1,1,1,1,1.0,0.0,0.024864,0.305019
76,impedance_perturb,0.027301,0.207044,3.903013,0,1,1,1,0.666667,0.333333,0.023821,0.400826
77,impedance_perturb,0.026695,0.213739,4.339214,0,1,1,1,0.666667,0.333333,0.026913,0.34619
78,impedance_perturb,0.029183,0.222922,3.939698,1,1,1,1,1.0,0.0,0.026525,0.383099
79,impedance_perturb,0.030353,0.233275,3.907151,1,1,1,1,1.0,0.0,0.025982,0.349201
80,impedance_perturb,0.030825,0.2441,3.310532,1,1,1,1,1.0,0.0,0.024122,0.374116
81,impedance_perturb,0.030802,0.254902,3.899242,1,1,1,1,1.0,0.0,0.026964,0.363155
82,impedance_perturb,0.029918,0.26482,3.745775,1,1,1,1,1.0,0.0,0.027428,0.324285
83,impedance_perturb,0.031521,0.276341,3.476823,1,1,1,1,1.0,0.0,0.029204,0.368723
84,impedance_perturb,0.031475,0.287816,4.471215,1,1,1,1,1.0,0.0,0.030585,0.385886
85,impedance_perturb,0.028511,0.296328,3.733966,1,1,1,1,1.0,0.0,0.026114,0.357146
86,impedance_perturb,0.032231,0.308559,3.982353,1,1,1,1,1.0,0.0,0.027846,0.334611
87,impedance_perturb,0.030719,0.319278,3.798578,1,1,1,1,1.0,0.0,0.025735,0.317631
88,impedance_perturb,0.030354,0.329632,4.714229,1,1,1,1,1.0,0.0,0.025792,0.438062
89,impedance_perturb,0.03274,0.342372,4.464693,1,1,1,1,1.0,0.0,0.026083,0.381009
90,impedance_perturb,0.031318,0.35369,4.497249,1,1,1,1,1.0,0.0,0.033029,0.358027
91,impedance_perturb,0.034088,0.367778,4.262979,1,1,1,1,1.0,0.0,0.027948,0.414942
92,impedance_perturb,0.031605,0.379383,5.197993,1,1,1,1,1.0,0.0,0.029543,0.345853
93,impedance_perturb,0.033676,0.393059,4.958576,1,1,1,1,1.0,0.0,0.02948,0.31653
94,impedance_perturb,0.031818,0.404877,4.586096,1,1,1,1,1.0,0.0,0.028197,0.383166
95,impedance_perturb,0.033357,0.418235,4.259902,1,1,1,1,1.0,0.0,0.029215,0.383772
96,impedance_perturb,0.034112,0.432347,5.160091,1,1,1,1,1.0,0.0,0.030231,0.380139
97,impedance_perturb,0.033349,0.445696,4.255027,1,1,1,1,1.0,0.0,0.029532,0.373503
98,impedance_perturb,0.034044,0.45974,4.444047,1,1,1,1,1.0,0.0,0.02662,0.399776
99,impedance_perturb,0.033759,0.473499,5.18398,1,1,1,1,1.0,0.0,0.028948,0.369984
0,load_shift,0.021407,0.001407,0.819384,0,0,0,0,0.0,0.0,0.020192,0.286132
1,load_shift,0.019348,0.000756,0.89179,0,0,0,0,0.0,0.0,0.020444,0.285638
2,load_shift,0.021884,0.002639,0.686887,0,0,0,0,0.0,0.0,0.019626,0.286808
3,load_shift,0.02217,0.00481,1.068794,0,0,0,0,0.0,0.0,0.022064,0.255433
4,load_shift,0.020401,0.00521,1.311371,0,0,0,0,0.0,0.0,0.020165,0.331964
5,load_shift,0.019224,0.004434,1.493272,0,0,0,0,0.0,0.0,0.024598,0.289115
6,load_shift,0.019332,0.003766,1.508685,0,0,0,0,0.0,0.0,0.023159,0.284314
7,load_shift,0.01937,0.003136,0.901375,0,0,0,0,0.0,0.0,0.017311,0.27244
8,load_shift,0.018494,0.00163,0.731271,0,0,0,0,0.0,0.0,0.019931,0.307026
9,load_shift,0.022326,0.003955,0.650576,0,0,0,0,0.0,0.0,0.021969,0.29358
10,load_shift,0.019926,0.003881,1.236187,0,0,0,0,0.0,0.0,0.017755,0.311472
11,load_shift,0.02025,0.004131,1.172358,0,0,0,0,0.0,0.0,0.020578,0.373659
12,load_shift,0.019043,0.003174,0.814151,0,0,0,0,0.0,0.0,0.018754,0.283336
13,load_shift,0.019044,0.002218,1.416156,0,0,0,0,0.0,0.0,0.022841,0.282878
14,load_shift,0.018751,0.00097,1.164995,0,0,0,0,0.0,0.0,0.018896,0.318988
15,load_shift,0.020304,0.001274,0.46949,0,0,0,0,0.0,0.0,0.023095,0.353876
16,load_shift,0.019081,0.000355,0.864304,0,0,0,0,0.0,0.0,0.020572,0.310034
17,load_shift,0.020988,0.001343,1.703572,0,0,0,0,0.0,0.0,0.019646,0.276051
18,load_shift,0.017931,0.0,0.744174,0,0,0,0,0.0,0.0,0.019934,0.353837
19,load_shift,0.019224,0.0,1.078326,0,0,0,0,0.0,0.0,0.019967,0.335652
20,load_shift,0.02379,0.00379,0.814196,0,0,0,0,0.0,0.0,0.019021,0.331325
21,load_shift,0.021023,0.004813,1.646348,0,0,0,0,0.0,0.0,0.021168,0.289221
22,load_shift,0.020886,0.005699,1.388046,0,0,0,0,0.0,0.0,0.021641,0.315218
23,load_shift,0.0216,0.007299,1.409253,0,0,0,0,0.0,0.0,0.022764,0.319461
24,load_shift,0.019749,0.007049,1.05135,0,0,0,0,0.0,0.0,0.022413,0.275492
25,load_shift,0.020553,0.007602,0.862331,0,0,0,0,0.0,0.0,0.020057,0.338354
26,load_shift,0.020287,0.007888,1.016253,0,0,0,0,0.0,0.0,0.01728,0.322388
27,load_shift,0.020968,0.008856,1.757139,0,0,0,0,0.0,0.0,0.019384,0.306575
28,load_shift,0.020374,0.009231,1.552109,0,0,0,0,0.0,0.0,0.019809,0.308371
29,load_shift,0.020912,0.010142,1.065313,0,0,0,0,0.0,0.0,0.019107,0.305823
30,load_shift,0.02161,0.011753,0.64072,0,0,0,0,0.0,0.0,0.020266,0.278996
31,load_shift,0.021793,0.013545,0.466885,0,0,0,0,0.0,0.0,0.018882,0.311316
32,load_shift,0.022348,0.015894,0.976987,0,0,0,0,0.0,0.0,0.01889,0.356435
33,load_shift,0.017828,0.013722,0.230418,0,0,0,0,0.0,0.0,0.02088,0.284938
34,load_shift,0.018468,0.01219,1.247925,0,0,0,0,0.0,0.0,0.020488,0.283078
35,load_shift,0.01808,0.010269,1.30536,0,0,0,0,0.0,0.0,0.0213,0.297025
36,load_shift,0.02277,0.013039,0.62547,0,0,0,0,0.0,0.0,0.016949,0.279243
37,load_shift,0.019932,0.012971,1.085169,0,0,0,0,0.0,0.0,0.019518,0.310562
38,load_shift,0.018123,0.011094,1.505318,0,0,0,0,0.0,0.0,0.019836,0.333519
39,load_shift,0.020514,0.011608,1.159864,0,0,0,0,0.0,0.0,0.02114,0.313431
40,load_shift,0.020964,0.012572,1.465203,0,0,0,0,0.0,0.0,0.020393,0.32127
41,load_shift,0.019865,0.012437,1.504041,0,0,0,0,0.0,0.0,0.018647,0.354028
42,load_shift,0.01994,0.012377,0.499229,0,0,0,0,0.0,0.0,0.020256,0.279568
43,load_shift,0.021261,0.013638,0.771582,0,0,0,0,0.0,0.0,0.019108,0.243314
44,load_shift,0.019322,0.012959,0.151642,0,0,0,0,0.0,0.0,0.016832,0.322812
45,load_shift,0.021179,0.014138,1.14891,0,0,0,0,0.0,0.0,0.018066,0.298569
46,load_shift,0.024176,0.018315,1.649118,0,0,0,0,0.0,0.0,0.026116,0.34723
47,load_shift,0.024032,0.022347,2.118501,0,0,0,0,0.0,0.0,0.023635,0.260566
48,load_shift,0.024175,0.026521,1.924942,0,0,0,0,0.0,0.0,0.021324,0.314294
49,load_shift,0.027424,0.033945,2.442477,0,0,0,0,0.0,0.0,0.022294,0.340814
50,load_shift,0.027008,0.040953,2.596349,0,0,0,0,0.0,0.0,0.023665,0.305137
51,load_shift,0.026138,0.047092,2.464993,0,0,0,0,0.0,0.0,0.025445,0.34451
52,load_shift,0.026847,0.053939,2.194486,0,0,0,0,0.0,0.0,0.026398,0.332292
53,load_shift,0.028567,0.062506,2.195148,1,0,0,0,0.333333,0.666667,0.027345,0.33321
54,load_shift,0.024659,0.067165,2.321549,0,0,0,0,0.0,0.0,0.023341,0.340907
55,load_shift,0.026602,0.073768,2.34466,0,0,0,0,0.0,0.0,0.024042,0.393359
56,load_shift,0.028591,0.082359,2.752713,1,1,0,1,0.666667,0.333333,0.024276,0.333601
57,load_shift,0.027102,0.089461,2.296568,0,1,0,0,0.333333,0.666667,0.023794,0.280852
58,load_shift,0.026962,0.096424,2.935609,0,1,0,0,0.333333,0.666667,0.023452,0.379038
59,load_shift,0.024707,0.10113,2.251105,0,1,0,0,0.333333,0.666667,0.024976,0.36414
60,load_shift,0.029253,0.110384,2.657572,1,1,0,1,0.666667,0.333333,0.026794,0.332481
61,load_shift,0.02665,0.117034,3.182008,0,1,1,1,0.666667,0.333333,0.02605,0.287254
62,load_shift,0.029306,0.126339,3.410305,1,1,1,1,1.0,0.0,0.023603,0.347329
63,load_shift,0.028014,0.134353,3.073054,1,1,1,1,1.0,0.0,0.023863,0.316215
64,load_shift,0.027416,0.141769,3.446819,0,1,1,1,0.666667,0.333333,0.02616,0.326154
65,load_shift,0.028794,0.150563,2.093919,1,1,0,1,0.666667,0.333333,0.027479,0.28599
66,load_shift,0.027275,0.157838,2.75357,0,1,0,0,0.333333,0.666667,0.022702,0.373916
67,load_shift,0.027298,0.165136,3.321276,0,1,1,1,0.666667,0.333333,0.025306,0.354311
68,load_shift,0.028297,0.173433,2.805498,1,1,0,1,0.666667,0.333333,0.027502,0.326096
69,load_shift,0.026029,0.179462,3.159251,0,1,1,1,0.666667,0.333333,0.02862,0.367325
70,load_shift,0.028022,0.187485,3.241396,1,1,1,1,1.0,0.0,0.025084,0.40503
71,load_shift,0.0293,0.196785,3.568696,1,1,1,1,1.0,0.0,0.027897,0.3508
72,load_shift,0.028521,0.205305,3.404005,1,1,1,1,1.0,0.0,0.025802,0.343429
73,load_shift,0.030182,0.215488,3.545454,1,1,1,1,1.0,0.0,0.02752,0.343033
74,load_shift,0.029391,0.224878,2.882448,1,1,0,1,0.666667,0.333333,0.027996,0.356758
75,load_shift,0.030952,0.23583,2.650053,1,1,0,1,0.666667,0.333333,0.030449,0.343085
76,load_shift,0.031299,0.247129,3.326942,1,1,1,1,1.0,0.0,0.027607,0.316579
77,load_shift,0.028883,0.256011,4.415366,1,1,1,1,1.0,0.0,0.02611,0.355614
78,load_shift,0.031305,0.267316,3.973489,1,1,1,1,1.0,0.0,0.026901,0.360949
79,load_shift,0.033787,0.281103,3.834379,1,1,1,1,1.0,0.0,0.027111,0.382429
80,load_shift,0.032022,0.293125,4.324552,1,1,1,1,1.0,0.0,0.028096,0.317528
81,load_shift,0.032996,0.306121,3.562415,1,1,1,1,1.0,0.0,0.027533,0.330099
82,load_shift,0.030631,0.316752,4.133249,1,1,1,1,1.0,0.0,0.027679,0.366294
