time,attack,num_agents_triggered,consensus,consensus_confidence,disagreement_score
73,baseline,0,0,0.0,0.0
74,baseline,0,0,0.0,0.0
75,baseline,0,0,0.0,0.0
76,baseline,0,0,0.0,0.0
77,baseline,0,0,0.0,0.0
78,baseline,0,0,0.0,0.0
79,baseline,0,0,0.0,0.0
80,baseline,0,0,0.0,0.0
81,baseline,0,0,0.0,0.0
82,baseline,0,0,0.0,0.0
83,baseline,0,0,0.0,0.0
84,baseline,0,0,0.0,0.0
85,baseline,0,0,0.0,0.0
86,baseline,0,0,0.0,0.0
87,baseline,0,0,0.0,0.0
88,baseline,0,0,0.0,0.0
89,baseline,0,0,0.0,0.0
90,baseline,0,0,0.0,0.0
91,baseline,0,0,0.0,0.0
92,baseline,0,0,0.0,0.0
93,baseline,0,0,0.0,0.0
94,baseline,0,0,0.0,0.0
95,baseline,0,0,0.0,0.0
96,baseline,0,0,0.0,0.0
97,baseline,0,0,0.0,0.0
98,baseline,0,0,0.0,0.0
99,baseline,0,0,0.0,0.0
0,impedance_perturb,0,0,0.0,0.0
1,impedance_perturb,0,0,0.0,0.0
2,impedance_perturb,0,0,0.0,0.0
3,impedance_perturb,0,0,0.0,0.0
4,impedance_perturb,0,0,0.0,0.0
5,impedance_perturb,0,0,0.0,0.0
6,impedance_perturb,0,0,0.0,0.0
7,impedance_perturb,0,0,0.0,0.0
8,impedance_perturb,0,0,0.0,0.0
9,impedance_perturb,0,0,0.0,0.0
10,impedance_perturb,0,0,0.0,0.0
11,impedance_perturb,0,0,0.0,0.0
12,impedance_perturb,0,0,0.0,0.0
13,impedance_perturb,0,0,0.0,0.0
14,impedance_perturb,0,0,0.0,0.0
15,impedance_perturb,0,0,0.0,0.0
16,impedance_perturb,0,0,0.0,0.0
17,impedance_perturb,0,0,0.0,0.0
18,impedance_perturb,0,0,0.0,0.0
19,impedance_perturb,0,0,0.0,0.0
20,impedance_perturb,0,0,0.0,0.0
21,impedance_perturb,0,0,0.0,0.0
22,impedance_perturb,0,0,0.0,0.0
23,impedance_perturb,0,0,0.0,0.0
24,impedance_perturb,0,0,0.0,0.0
25,impedance_perturb,0,0,0.0,0.0
26,impedance_perturb,0,0,0.0,0.0
27,impedance_perturb,0,0,0.0,0.0
28,impedance_perturb,0,0,0.0,0.0
29,impedance_perturb,0,0,0.0,0.0
30,impedance_perturb,0,0,0.0,0.0
31,impedance_perturb,0,0,0.0,0.0
32,impedance_perturb,0,0,0.0,0.0
33,impedance_perturb,0,0,0.0,0.0
34,impedance_perturb,0,0,0.0,0.0
35,impedance_perturb,0,0,0.0,0.0
36,impedance_perturb,0,0,0.0,0.0
37,impedance_perturb,0,0,0.0,0.0
38,impedance_perturb,0,0,0.0,0.0
39,impedance_perturb,0,0,0.0,0.0
40,impedance_perturb,0,0,0.0,0.0
41,impedance_perturb,0,0,0.0,0.0
42,impedance_perturb,0,0,0.0,0.0
43,impedance_perturb,0,0,0.0,0.0
44,impedance_perturb,0,0,0.0,0.0
45,impedance_perturb,0,0,0.0,0.0
46,impedance_perturb,0,0,0.0,0.0
47,impedance_perturb,0,0,0.0,0.0
48,impedance_perturb,0,0,0.0,0.0
49,impedance_perturb,0,0,0.0,0.0
50,impedance_perturb,0,0,0.0,0.0
51,impedance_perturb,0,0,0.0,0.0
52,impedance_perturb,0,0,0.0,0.0
53,impedance_perturb,0,0,0.0,0.0
54,impedance_perturb,0,0,0.0,0.0
55,impedance_perturb,0,0,0.0,0.0
56,impedance_perturb,1,0,0.333333,0.666667
57,impedance_perturb,1,0,0.333333,0.666667
58,impedance_perturb,0,0,0.0,0.0
59,impedance_perturb,1,0,0.333333,0.666667
60,impedance_perturb,2,1,0.666667,0.333333
61,impedance_perturb,1,0,0.333333,0.666667
62,impedance_perturb,2,1,0.666667,0.333333
63,impedance_perturb,1,0,0.333333,0.666667
64,impedance_perturb,2,1,0.666667,0.333333
65,impedance_perturb,1,0,0.333333,0.666667
66,impedance_perturb,2,1,0.666667,0.333333
67,impedance_perturb,2,1,0.666667,0.333333
68,impedance_perturb,2,1,0.666667,0.333333
69,impedance_perturb,2,1,0.666667,0.333333
70,impedance_perturb,2,1,0.666667,0.333333
71,impedance_perturb,2,1,0.666667,0.333333
72,impedance_perturb,3,1,1.0,0.0
73,impedance_perturb,2,1,0.666667,0.333333
74,impedance_perturb,3,1,1.0,0.0
75,impedance_perturb,3,1,1.0,0.0
76,impedance_perturb,2,1,0.666667,0.333333
77,impedance_perturb,2,1,0.666667,0.333333
78,impedance_perturb,3,1,1.0,0.0
79,impedance_perturb,3,1,1.0,0.0
80,impedance_perturb,3,1,1.0,0.0
81,impedance_perturb,3,1,1.0,0.0
82,impedance_perturb,3,1,1.0,0.0
83,impedance_perturb,3,1,1.0,0.0
84,impedance_perturb,3,1,1.0,0.0
85,impedance_perturb,3,1,1.0,0.0
86,impedance_perturb,3,1,1.0,0.0
87,impedance_perturb,3,1,1.0,0.0
88,impedance_perturb,3,1,1.0,0.0
89,impedance_perturb,3,1,1.0,0.0
90,impedance_perturb,3,1,1.0,0.0
91,impedance_perturb,3,1,1.0,0.0
92,impedance_perturb,3,1,1.0,0.0
93,impedance_perturb,3,1,1.0,0.0
94,impedance_perturb,3,1,1.0,0.0
95,impedance_perturb,3,1,1.0,0.0
96,impedance_perturb,3,1,1.0,0.0
97,impedance_perturb,3,1,1.0,0.0
98,impedance_perturb,3,1,1.0,0.0
99,impedance_perturb,3,1,1.0,0.0
0,load_shift,0,0,0.0,0.0
1,load_shift,0,0,0.0,0.0
2,load_shift,0,0,0.0,0.0
3,load_shift,0,0,0.0,0.0
4,load_shift,0,0,0.0,0.0
5,load_shift,0,0,0.0,0.0
6,load_shift,0,0,0.0,0.0
7,load_shift,0,0,0.0,0.0
8,load_shift,0,0,0.0,0.0
9,load_shift,0,0,0.0,0.0
10,load_shift,0,0,0.0,0.0
11,load_shift,0,0,0.0,0.0
12,load_shift,0,0,0.0,0.0
13,load_shift,0,0,0.0,0.0
14,load_shift,0,0,0.0,0.0
15,load_shift,0,0,0.0,0.0
16,load_shift,0,0,0.0,0.0
17,load_shift,0,0,0.0,0.0
18,load_shift,0,0,0.0,0.0
19,load_shift,0,0,0.0,0.0
20,load_shift,0,0,0.0,0.0
21,load_shift,0,0,0.0,0.0
22,load_shift,0,0,0.0,0.0
23,load_shift,0,0,0.0,0.0
24,load_shift,0,0,0.0,0.0
25,load_shift,0,0,0.0,0.0
26,load_shift,0,0,0.0,0.0
27,load_shift,0,0,0.0,0.0
28,load_shift,0,0,0.0,0.0
29,load_shift,0,0,0.0,0.0
30,load_shift,0,0,0.0,0.0
31,load_shift,0,0,0.0,0.0
32,load_shift,0,0,0.0,0.0
33,load_shift,0,0,0.0,0.0
34,load_shift,0,0,0.0,0.0
35,load_shift,0,0,0.0,0.0
36,load_shift,0,0,0.0,0.0
37,load_shift,0,0,0.0,0.0
38,load_shift,0,0,0.0,0.0
39,load_shift,0,0,0.0,0.0
40,load_shift,0,0,0.0,0.0
41,load_shift,0,0,0.0,0.0
42,load_shift,0,0,0.0,0.0
43,load_shift,0,0,0.0,0.0
44,load_shift,0,0,0.0,0.0
45,load_shift,0,0,0.0,0.0
46,load_shift,0,0,0.0,0.0
47,load_shift,0,0,0.0,0.0
48,load_shift,0,0,0.0,0.0
49,load_shift,0,0,0.0,0.0
50,load_shift,0,0,0.0,0.0
51,load_shift,0,0,0.0,0.0
52,load_shift,0,0,0.0,0.0
53,load_shift,1,0,0.333333,0.666667
54,load_shift,0,0,0.0,0.0
55,load_shift,0,0,0.0,0.0
56,load_shift,2,1,0.666667,0.333333
57,load_shift,1,0,0.333333,0.666667
58,load_shift,1,0,0.333333,0.666667
59,load_shift,1,0,0.333333,0.666667
60,load_shift,2,1,0.666667,0.333333
61,load_shift,2,1,0.666667,0.333333
62,load_shift,3,1,1.0,0.0
63,load_shift,3,1,1.0,0.0
64,load_shift,2,1,0.666667,0.333333
65,load_shift,2,1,0.666667,0.333333
66,load_shift,1,0,0.333333,0.666667
67,load_shift,2,1,0.666667,0.333333
68,load_shift,2,1,0.666667,0.333333
69,load_shift,2,1,0.666667,0.333333
70,load_shift,3,1,1.0,0.0
71,load_shift,3,1,1.0,0.0
72,load_shift,3,1,1.0,0.0
73,load_shift,3,1,1.0,0.0
74,load_shift,2,1,0.666667,0.333333
75,load_shift,2,1,0.666667,0.333333
76,load_shift,3,1,1.0,0.0
77,load_shift,3,1,1.0,0.0
78,load_shift,3,1,1.0,0.0
79,load_shift,3,1,1.0,0.0
80,load_shift,3,1,1.0,0.0
81,load_shift,3,1,1.0,0.0
82,load_shift,3,1,1.0,0.0
83,load_shift,3,1,1.0,0.0
84,load_shift,3,1,1.0,0.0
85,load_shift,3,1,1.0,0.0
86,load_shift,3,1,1.0,0.0
87,load_shift,3,1,1.0,0.0
88,load_shift,3,1,1.0,0.0
89,load_shift,3,1,1.0,0.0
90,load_shift,3,1,1.0,0.0
91,load_shift,3,1,1.0,0.0
92,load_shift,3,1,1.0,0.0
93,load_shift,3,1,1.0,0.0
94,load_shift,3,1,1.0,0.0
95,load_shift,3,1,1.0,0.0
96,load_shift,3,1,1.0,0.0
97,load_shift,3,1,1.0,0.0
98,load_shift,3,1,1.0,0.0
99,load_shift,3,1,1.0,0.0
0,voltage_drift,0,0,0.0,0.0
1,voltage_drift,0,0,0.0,0.0
2,voltage_drift,0,0,0.0,0.0
3,voltage_drift,0,0,0.0,0.0
4,voltage_drift,0,0,0.0,0.0
5,voltage_drift,0,0,0.0,0.0
6,voltage_drift,0,0,0.0,0.0
7,voltage_drift,0,0,0.0,0.0
8,voltage_drift,0,0,0.0,0.0
9,voltage_drift,0,0,0.0,0.0
10,voltage_drift,0,0,0.0,0.0
11,voltage_drift,0,0,0.0,0.0
12,voltage_drift,0,0,0.0,0.0
13,voltage_drift,0,0,0.0,0.0
14,voltage_drift,0,0,0.0,0.0
15,voltage_drift,0,0,0.0,0.0
16,voltage_drift,0,0,0.0,0.0
17,voltage_drift,0,0,0.0,0.0
18,voltage_drift,0,0,0.0,0.0
19,voltage_drift,0,0,0.0,0.0
20,voltage_drift,0,0,0.0,0.0
21,voltage_drift,0,0,0.0,0.0
22,voltage_drift,0,0,0.0,0.0
23,voltage_drift,0,0,0.0,0.0
24,voltage_drift,0,0,0.0,0.0
25,voltage_drift,0,0,0.0,0.0
26,voltage_drift,0,0,0.0,0.0
27,voltage_drift,0,0,0.0,0.0
28,voltage_drift,0,0,0.0,0.0
29,voltage_drift,0,0,0.0,0.0
30,voltage_drift,0,0,0.0,0.0
31,voltage_drift,0,0,0.0,0.0
32,voltage_drift,0,0,0.0,0.0
33,voltage_drift,0,0,0.0,0.0
34,voltage_drift,0,0,0.0,0.0
35,voltage_drift,0,0,0.0,0.0
36,voltage_drift,0,0,0.0,0.0
37,voltage_drift,0,0,0.0,0.0
38,voltage_drift,0,0,0.0,0.0
39,voltage_drift,0,0,0.0,0.0
40,voltage_drift,0,0,0.0,0.0
41,voltage_drift,0,0,0.0,0.0
42,voltage_drift,0,0,0.0,0.0
43,voltage_drift,0,0,0.0,0.0
44,voltage_drift,0,0,0.0,0.0
45,voltage_drift,0,0,0.0,0.0
46,voltage_drift,0,0,0.0,0.0
47,voltage_drift,0,0,0.0,0.0
48,voltage_drift,0,0,0.0,0.0
49,voltage_drift,0,0,0.0,0.0
50,voltage_drift,0,0,0.0,0.0
51,voltage_drift,0,0,0.0,0.0
52,voltage_drift,0,0,0.0,0.0
53,voltage_drift,1,0,0.333333,0.666667
54,voltage_drift,0,0,0.0,0.0
55,voltage_drift,0,0,0.0,0.0
56,voltage_drift,0,0,0.0,0.0
57,voltage_drift,0,0,0.0,0.0
58,voltage_drift,0,0,0.0,0.0
59,voltage_drift,1,0,0.333333,0.666667
60,voltage_drift,2,1,0.666667,0.333333
61,voltage_drift,1,0,0.333333,0.666667
62,voltage_drift,2,1,0.666667,0.333333
63,voltage_drift,2,1,0.666667,0.333333
64,voltage_drift,3,1,1.0,0.0
65,voltage_drift,1,0,0.333333,0.666667
66,voltage_drift,2,1,0.666667,0.333333
67,voltage_drift,2,1,0.666667,0.333333
68,voltage_drift,2,1,0.666667,0.333333
69,voltage_drift,3,1,1.0,0.0
70,voltage_drift,3,1,1.0,0.0
71,voltage_drift,3,1,1.0,0.0
72,voltage_drift,2,1,0.666667,0.333333
73,voltage_drift,3,1,1.0,0.0
74,voltage_drift,3,1,1.0,0.0
75,voltage_drift,3,1,1.0,0.0
76,voltage_drift,3,1,1.0,0.0
77,voltage_drift,3,1,1.0,0.0
78,voltage_drift,3,1,1.0,0.0
79,voltage_drift,3,1,1.0,0.0
80,voltage_drift,3,1,1.0,0.0
81,voltage_drift,3,1,1.0,0.0
82,voltage_drift,3,1,1.0,0.0
83,voltage_drift,3,1,1.0,0.0
84,voltage_drift,3,1,1.0,0.0
85,voltage_drift,3,1,1.0,0.0
86,voltage_drift,3,1,1.0,0.0
87,voltage_drift,3,1,1.0,0.0
88,voltage_drift,3,1,1.0,0.0
89,voltage_drift,3,1,1.0,0.0
90,voltage_drift,3,1,1.0,0.0
91,voltage_drift,3,1,1.0,0.0
92,voltage_drift,3,1,1.0,0.0
93,voltage_drift,3,1,1.0,0.0
94,voltage_drift,3,1,1.0,0.0
95,voltage_drift,3,1,1.0,0.0
96,voltage_drift,3,1,1.0,0.0
97,voltage_drift,3,1,1.0,0.0
98,voltage_drift,3,1,1.0,0.0
99,voltage_drift,3,1,1.0,0.0
0,resistance_shift,0,0,0.0,0.0
1,resistance_shift,0,0,0.0,0.0
2,resistance_shift,0,0,0.0,0.0
3,resistance_shift,0,0,0.0,0.0
4,resistance_shift,0,0,0.0,0.0
5,resistance_shift,0,0,0.0,0.0
6,resistance_shift,0,0,0.0,0.0
7,resistance_shift,0,0,0.0,0.0
8,resistance_shift,0,0,0.0,0.0
9,resistance_shift,0,0,0.0,0.0
10,resistance_shift,0,0,0.0,0.0
11,resistance_shift,0,0,0.0,0.0
12,resistance_shift,0,0,0.0,0.0
13,resistance_shift,0,0,0.0,0.0
14,resistance_shift,0,0,0.0,0.0
15,resistance_shift,0,0,0.0,0.0
16,resistance_shift,0,0,0.0,0.0
17,resistance_shift,0,0,0.0,0.0
18,resistance_shift,0,0,0.0,0.0
19,resistance_shift,0,0,0.0,0.0
20,resistance_shift,0,0,0.0,0.0
21,resistance_shift,0,0,0.0,0.0
22,resistance_shift,0,0,0.0,0.0
23,resistance_shift,0,0,0.0,0.0
24,resistance_shift,0,0,0.0,0.0
25,resistance_shift,0,0,0.0,0.0
26,resistance_shift,0,0,0.0,0.0
27,resistance_shift,0,0,0.0,0.0
28,resistance_shift,0,0,0.0,0.0
29,resistance_shift,0,0,0.0,0.0
30,resistance_shift,0,0,0.0,0.0
31,resistance_shift,0,0,0.0,0.0
32,resistance_shift,0,0,0.0,0.0
33,resistance_shift,0,0,0.0,0.0
34,resistance_shift,0,0,0.0,0.0
35,resistance_shift,0,0,0.0,0.0
36,resistance_shift,0,0,0.0,0.0
37,resistance_shift,0,0,0.0,0.0
38,resistance_shift,0,0,0.0,0.0
39,resistance_shift,0,0,0.0,0.0
40,resistance_shift,0,0,0.0,0.0
41,resistance_shift,0,0,0.0,0.0
42,resistance_shift,0,0,0.0,0.0
43,resistance_shift,0,0,0.0,0.0
44,resistance_shift,0,0,0.0,0.0
45,resistance_shift,0,0,0.0,0.0
46,resistance_shift,0,0,0.0,0.0
47,resistance_shift,0,0,0.0,0.0
48,resistance_shift,0,0,0.0,0.0
49,resistance_shift,0,0,0.0,0.0
50,resistance_shift,0,0,0.0,0.0
51,resistance_shift,0,0,0.0,0.0
52,resistance_shift,0,0,0.0,0.0
53,resistance_shift,0,0,0.0,0.0
54,resistance_shift,0,0,0.0,0.0
55,resistance_shift,0,0,0.0,0.0
56,resistance_shift,0,0,0.0,0.0
57,resistance_shift,0,0,0.0,0.0
58,resistance_shift,0,0,0.0,0.0
59,resistance_shift,0,0,0.0,0.0
60,resistance_shift,0,0,0.0,0.0
61,resistance_shift,1,0,0.333333,0.666667
62,resistance_shift,3,1,1.0,0.0
63,resistance_shift,2,1,0.666667,0.333333
64,resistance_shift,2,1,0.666667,0.333333
65,resistance_shift,2,1,0.666667,0.333333
66,resistance_shift,2,1,0.666667,0.333333
67,resistance_shift,2,1,0.666667,0.333333
68,resistance_shift,2,1,0.666667,0.333333
69,resistance_shift,2,1,0.666667,0.333333
70,resistance_shift,3,1,1.0,0.0
71,resistance_shift,3,1,1.0,0.0
72,resistance_shift,3,1,1.0,0.0
73,resistance_shift,3,1,1.0,0.0
74,resistance_shift,3,1,1.0,0.0
75,resistance_shift,3,1,1.0,0.0
76,resistance_shift,3,1,1.0,0.0
77,resistance_shift,3,1,1.0,0.0
78,resistance_shift,3,1,1.0,0.0
79,resistance_shift,3,1,1.0,0.0
80,resistance_shift,2,1,0.666667,0.333333
81,resistance_shift,3,1,1.0,0.0
82,resistance_shift,3,1,1.0,0.0
83,resistance_shift,3,1,1.0,0.0
84,resistance_shift,3,1,1.0,0.0
85,resistance_shift,3,1,1.0,0.0
86,resistance_shift,3,1,1.0,0.0
87,resistance_shift,3,1,1.0,0.0
88,resistance_shift,3,1,1.0,0.0
89,resistance_shift,3,1,1.0,0.0
90,resistance_shift,3,1,1.0,0.0
91,resistance_shift,3,1,1.0,0.0
92,resistance_shift,3,1,1.0,0.0
93,resistance_shift,3,1,1.0,0.0
94,resistance_shift,3,1,1.0,0.0
95,resistance_shift,3,1,1.0,0.0
96,resistance_shift,3,1,1.0,0.0
97,resistance_shift,3,1,1.0,0.0
98,resistance_shift,3,1,1.0,0.0
99,resistance_shift,3,1,1.0,0.0
0,localized_load_attack,0,0,0.0,0.0
1,localized_load_attack,0,0,0.0,0.0
2,localized_load_attack,0,0,0.0,0.0
3,localized_load_attack,0,0,0.0,0.0
4,localized_load_attack,0,0,0.0,0.0
5,localized_load_attack,0,0,0.0,0.0
6,localized_load_attack,0,0,0.0,0.0
7,localized_load_attack,0,0,0.0,0.0
8,localized_load_attack,0,0,0.0,0.0
9,localized_load_attack,0,0,0.0,0.0
10,localized_load_attack,0,0,0.0,0.0
11,localized_load_attack,0,0,0.0,0.0
12,localized_load_attack,0,0,0.0,0.0
13,localized_load_attack,0,0,0.0,0.0
14,localized_load_attack,0,0,0.0,0.0
15,localized_load_attack,0,0,0.0,0.0
16,localized_load_attack,0,0,0.0,0.0
17,localized_load_attack,0,0,0.0,0.0
18,localized_load_attack,0,0,0.0,0.0
19,localized_load_attack,0,0,0.0,0.0
20,localized_load_attack,0,0,0.0,0.0
21,localized_load_attack,0,0,0.0,0.0
22,localized_load_attack,0,0,0.0,0.0
23,localized_load_attack,0,0,0.0,0.0
24,localized_load_attack,0,0,0.0,0.0
25,localized_load_attack,0,0,0.0,0.0
26,localized_load_attack,0,0,0.0,0.0
27,localized_load_attack,0,0,0.0,0.0
28,localized_load_attack,0,0,0.0,0.0
29,localized_load_attack,0,0,0.0,0.0
30,localized_load_attack,0,0,0.0,0.0
31,localized_load_attack,0,0,0.0,0.0
32,localized_load_attack,0,0,0.0,0.0
33,localized_load_attack,0,0,0.0,0.0
34,localized_load_attack,0,0,0.0,0.0
35,localized_load_attack,0,0,0.0,0.0
36,localized_load_attack,0,0,0.0,0.0
37,localized_load_attack,0,0,0.0,0.0
38,localized_load_attack,0,0,0.0,0.0
39,localized_load_attack,0,0,0.0,0.0
40,localized_load_attack,0,0,0.0,0.0
41,localized_load_attack,0,0,0.0,0.0
42,localized_load_attack,0,0,0.0,0.0
43,localized_load_attack,0,0,0.0,0.0
44,localized_load_attack,0,0,0.0,0.0
45,localized_load_attack,0,0,0.0,0.0
46,localized_load_attack,0,0,0.0,0.0
47,localized_load_attack,0,0,0.0,0.0
48,localized_load_attack,0,0,0.0,0.0
49,localized_load_attack,0,0,0.0,0.0
50,localized_load_attack,0,0,0.0,0.0
51,localized_load_attack,0,0,0.0,0.0
52,localized_load_attack,0,0,0.0,0.0
53,localized_load_attack,0,0,0.0,0.0
54,localized_load_attack,0,0,0.0,0.0
55,localized_load_attack,0,0,0.0,0.0
56,localized_load_attack,1,0,0.333333,0.666667
57,localized_load_attack,1,0,0.333333,0.666667
58,localized_load_attack,1,0,0.333333,0.666667
59,localized_load_attack,0,0,0.0,0.0
60,localized_load_attack,2,1,0.666667,0.333333
61,localized_load_attack,2,1,0.666667,0.333333
62,localized_load_attack,2,1,0.666667,0.333333
63,localized_load_attack,1,0,0.333333,0.666667
64,localized_load_attack,2,1,0.666667,0.333333
65,localized_load_attack,3,1,1.0,0.0
66,localized_load_attack,3,1,1.0,0.0
67,localized_load_attack,2,1,0.666667,0.333333
68,localized_load_attack,2,1,0.666667,0.333333
69,localized_load_attack,2,1,0.666667,0.333333
70,localized_load_attack,2,1,0.666667,0.333333
71,localized_load_attack,3,1,1.0,0.0
72,localized_load_attack,3,1,1.0,0.0
73,localized_load_attack,3,1,1.0,0.0
74,localized_load_attack,3,1,1.0,0.0
75,localized_load_attack,3,1,1.0,0.0
76,localized_load_attack,3,1,1.0,0.0
77,localized_load_attack,3,1,1.0,0.0
78,localized_load_attack,3,1,1.0,0.0
79,localized_load_attack,3,1,1.0,0.0
80,localized_load_attack,3,1,1.0,0.0
81,localized_load_attack,3,1,1.0,0.0
82,localized_load_attack,3,1,1.0,0.0
83,localized_load_attack,3,1,1.0,0.0
84,localized_load_attack,3,1,1.0,0.0
85,localized_load_attack,3,1,1.0,0.0
86,localized_load_attack,3,1,1.0,0.0
87,localized_load_attack,3,1,1.0,0.0
88,localized_load_attack,3,1,1.0,0.0
89,localized_load_attack,3,1,1.0,0.0
90,localized_load_attack,3,1,1.0,0.0
91,localized_load_attack,3,1,1.0,0.0
92,localized_load_attack,3,1,1.0,0.0
93,localized_load_attack,3,1,1.0,0.0
94,localized_load_attack,3,1,1.0,0.0
95,localized_load_attack,3,1,1.0,0.0
96,localized_load_attack,3,1,1.0,0.0
97,localized_load_attack,3,1,1.0,0.0
98,localized_load_attack,3,1,1.0,0.0
99,localized_load_attack,3,1,1.0,0.0
0,fdia_attack,0,0,0.0,0.0
1,fdia_attack,0,0,0.0,0.0
2,fdia_attack,0,0,0.0,0.0
3,fdia_attack,0,0,0.0,0.0
4,fdia_attack,0,0,0.0,0.0
5,fdia_attack,0,0,0.0,0.0
6,fdia_attack,0,0,0.0,0.0
7,fdia_attack,0,0,0.0,0.0
8,fdia_attack,0,0,0.0,0.0
9,fdia_attack,0,0,0.0,0.0
10,fdia_attack,0,0,0.0,0.0
11,fdia_attack,0,0,0.0,0.0
12,fdia_attack,0,0,0.0,0.0
13,fdia_attack,0,0,0.0,0.0
14,fdia_attack,0,0,0.0,0.0
15,fdia_attack,0,0,0.0,0.0
16,fdia_attack,0,0,0.0,0.0
17,fdia_attack,0,0,0.0,0.0
18,fdia_attack,0,0,0.0,0.0
19,fdia_attack,0,0,0.0,0.0
20,fdia_attack,0,0,0.0,0.0
21,fdia_attack,0,0,0.0,0.0
22,fdia_attack,0,0,0.0,0.0
23,fdia_attack,0,0,0.0,0.0
24,fdia_attack,0,0,0.0,0.0
25,fdia_attack,0,0,0.0,0.0
26,fdia_attack,0,0,0.0,0.0
27,fdia_attack,0,0,0.0,0.0
28,fdia_attack,0,0,0.0,0.0
29,fdia_attack,0,0,0.0,0.0
30,fdia_attack,0,0,0.0,0.0
31,fdia_attack,0,0,0.0,0.0
32,fdia_attack,0,0,0.0,0.0
33,fdia_attack,0,0,0.0,0.0
34,fdia_attack,0,0,0.0,0.0
35,fdia_attack,0,0,0.0,0.0
36,fdia_attack,0,0,0.0,0.0
37,fdia_attack,0,0,0.0,0.0
38,fdia_attack,0,0,0.0,0.0
39,fdia_attack,0,0,0.0,0.0
40,fdia_attack,0,0,0.0,0.0
41,fdia_attack,0,0,0.0,0.0
42,fdia_attack,0,0,0.0,0.0
43,fdia_attack,0,0,0.0,0.0
44,fdia_attack,0,0,0.0,0.0
45,fdia_attack,0,0,0.0,0.0
46,fdia_attack,0,0,0.0,0.0
47,fdia_attack,0,0,0.0,0.0
48,fdia_attack,0,0,0.0,0.0
49,fdia_attack,0,0,0.0,0.0
50,fdia_attack,0,0,0.0,0.0
51,fdia_attack,0,0,0.0,0.0
52,fdia_attack,0,0,0.0,0.0
53,fdia_attack,0,0,0.0,0.0
54,fdia_attack,0,0,0.0,0.0
55,fdia_attack,0,0,0.0,0.0
56,fdia_attack,0,0,0.0,0.0
57,fdia_attack,0,0,0.0,0.0
58,fdia_attack,0,0,0.0,0.0
59,fdia_attack,2,1,0.666667,0.333333
60,fdia_attack,2,1,0.666667,0.333333
61,fdia_attack,1,0,0.333333,0.666667
62,fdia_attack,2,1,0.666667,0.333333
63,fdia_attack,3,1,1.0,0.0
64,fdia_attack,2,1,0.666667,0.333333
65,fdia_attack,1,0,0.333333,0.666667
66,fdia_attack,2,1,0.666667,0.333333
67,fdia_attack,3,1,1.0,0.0
68,fdia_attack,3,1,1.0,0.0
69,fdia_attack,2,1,0.666667,0.333333
